product_id,product_name, product_price 
582 ,iPhone, $670.00 
216 ,LG Dryer, $610.00 
168 ,20in Monitor, $125.00 
614 ,Google Phone, $610.00 
394 ,Flatscreen TV, $279.00 
826 ,ThinkPad Laptop," $1,000.00 "
443 ,27in FHD Monitor, $150.00 
277 ,Wired Headphones, $14.00 
968 ,LG Washing Machine, $600.00 
422 ,Macbook Pro Laptop," $1,800.00 "
715 ,USB-C Charging Cable, $15.00 
406 ,AA Batteries (4-pack), $4.49 
877 ,27in 4K Gaming Monitor, $400.00 
493 ,34in Ultrawide Monitor, $425.00 
692 ,AAA Batteries (4-pack), $2.90 
953 ,Apple Airpods, $179.00 
435 ,Golf Handheld GPS Caddie, $399.00 
981 ,Lightning Charging Cable, $16.00 
467 ,SoundSport Headphones, $140.00 
